Site_Number,Site_Code,deployment_id,group,Camera,Recorder,Latitude,Longitude,Forest_Type,Land_Use,Year,Data.Day1,Data.Day15,Camera_Deployment_Date,Camera_Takedown_Date,Recorder_Deployment_Date,Recorder_Takedown_Date,Camera_HLPX,Recorder_Serial,Notes
5,L5,L5_CameraA,1,A,A,10.42647,-84.00167,Secondary/Selectively Logged,Abandoned Agroforestry,1954,30.4.23,14.5.23,26.4.23,15.5.23,26.4.23,15.5.23,HLPXHO01090615,SMA12903,
2,L4,L4_CameraB,1,B,B,10.416783,-84.004427,Old Growth,Forested Swamp,0,30.4.23,14.5.23,26.4.23,16.5.23,26.4.23,16.5.23,HLPXHO01090833,SMA12960,
3,L2,L2_CameraC,1,C,C,10.423204,-84.021179,Old Growth,Old Growth,0,30.4.23,14.5.23,26.4.23,17.5.23,26.4.23,17.5.23,HLPXHO01090830,SMA12944,
4,L1,L1_CameraD,1,D,D,10.430981,-84.015674,Old Growth,Secondary Forest,1983,30.4.23,14.5.23,26.4.23,17.5.23,26.4.23,17.5.23,HLPXHO01090264,SMA12929,
5,L22,L22_CameraE,1,E,E,10.431592,-84.023421,Secondary/Selectively Logged,Secondary Forest,1988,30.4.23,14.5.23,27.4.23,17.5.23,27.4.23,17.5.23,HLPXHO01090975,SMA12886,
6,L19,L19_CameraF,1,F,F,10.43521,-84.032842,Secondary/Selectively Logged,Shaded Pasture,1983,30.4.23,14.5.23,27.4.23,17.5.23,27.4.23,17.5.23,HLPXHO01090342,SMA12893,
7,L7,L7_CameraG,1,G,G,10.443085,-84.012866,Secondary/Selectively Logged,Abandoned Plantation,1986,30.4.23,14.5.23,27.4.23,17.5.23,27.4.23,17.5.23,HLPXHO01090320,SMA12956,
8,L6,L6_CameraH,1,H,H,10.434807,-84.008213,Secondary/Selectively Logged,Selectively Logged Forest,1953,30.4.23,14.5.23,27.4.23,15.5.23,27.4.23,15.5.23,HLPXHO01090592,SMA13619,CHECK H vs. I
9,L3,L3_CameraI,1,I,I,10.421827,-84.011581,Old Growth,Old Growth,0,30.4.23,14.5.23,28.4.23,16.5.23,28.4.23,16.5.23,HLPXHO01090331,SMA12347,
10,L9,L9_CameraJ,1,J,J,10.414995,-84.012039,Old Growth,Old Growth,0,30.4.23,14.5.23,28.4.23,16.5.23,28.4.23,16.5.23,HLPXHO01090295,SMA13625,
11,L25,L25_CameraK,1,K,K,10.410057,-84.016757,Old Growth,Old Growth,0,30.4.23,14.5.23,28.4.23,16.5.23,28.4.23,16.5.23,HLPXHO01090831,SMA13630,
12,L11,L11_CameraL,1,L,L,10.401336,-84.0123317,Old Growth,Old Growth,0,30.4.23,14.5.23,28.4.23,16.5.23,28.4.23,16.5.23,HLPXHO01090345,SMA13623,
13,L10,L10_CameraM,1,M,M,10.408485,-84.005859,Old Growth,Old Growth,0,30.4.23,14.5.23,28.4.23,16.5.23,28.4.23,16.5.23,HLPXHO01090842,SMA12399,
14,L27,L27_CameraN,1,N,N,10.428522,-84.009079,Old Growth,Old Growth/Ecological Reserve,1954,30.4.23,14.5.23,29.4.23,17.5.23,29.4.23,17.5.23,HLPXHN12088669,SMA13677,
15,L8,L8_CameraO,1,O,O,10.433525,-83.996848,Secondary/Selectively Logged,Secondary Forest,2000,30.4.23,14.5.23,29.4.23,16.5.23,29.4.23,16.5.23,HLPXHO01090344,SMA13621,
16,L23,L23_CameraA,2,A,A,10.417017,-84.02571,Old Growth,Old Growth,0,22.5.23,5.6.23,19.5.23,09.06.23,19.5.23,09.06.23,HLPXHO01090615,SMA12903,
17,L12,L12_CameraB,2,B,B,10.40748,-84.025174,Old Growth,Old Growth,0,22.5.23,5.6.23,19.5.23,09.06.23,19.5.23,09.06.23,HLPXHO01090833,SMA12960,recorder has SD card D because of malfunction
18,L13,L13_CameraC,2,C,C,10.410158,-84.031727,Secondary/Selectively Logged,Secondary Forest,1976,22.5.23,5.6.23,19.5.23,09.06.23,19.5.23,09.06.23,HLPXHO01090830,SMA12944,
19,L24,L24_CameraD,2,D,D,10.438055,-84.01741,Secondary/Selectively Logged,Selectively Logged Forest,1955,22.5.23,5.6.23,19.5.23,06.06.23,20.5.23,06.06.23,HLPXHO01090264,SMA12929,recorder has SD card B because of malfunction
20,L18,L18_CameraE,2,E,E,10.437841,-84.025486,Secondary/Selectively Logged,Secondary Forest,1971,22.5.23,5.6.23,20.5.23,10.06.23,20.5.23,10.06.23,HLPXHO01090975,SMA12886,
21,L14,L14_CameraF,2,F,F,10.4133939,-84.037489,Secondary/Selectively Logged,Secondary Forest,1976,22.5.23,5.6.23,19.5.23,08.06.23,19.5.23,08.06.23,HLPXHO01090342,SMA12893,
22,L26,L26_CameraG,2,G,G,10.445208,-84.02293,Secondary/Selectively Logged,Secondary Forest,1983,22.5.23,5.6.23,20.5.23,10.06.23,20.5.23,10.06.23,HLPXHO01090320,SMA12956,
23,L20,L20_CameraH,2,H,H,10.451655,-84.020764,Secondary/Selectively Logged,Secondary Forest,2000,22.5.23,5.6.23,20.5.23,10.06.23,20.5.23,10.06.23,HLPXHO01090592,SMA13619,
24,L15,L15_CameraI,2,I,I,10.423461,-84.04505,Old Growth,Old Growth,0,22.5.23,5.6.23,21.5.23,08.06.23,21.5.23,08.06.23,HLPXHO01090331,SMA12347,
25,L17,L17_CameraJ,2,J,J,10.425406,-84.037891,Old Growth,Old Growth,0,22.5.23,5.6.23,21.5.23,08.06.23,21.5.23,08.06.23,HLPXHO01090295,SMA13625,
26,L16,L16_CameraK,2,K,K,10.434215,-84.041058,Secondary/Selectively Logged,Secondary Forest,2000,22.5.23,5.6.23,21.5.23,09.06.23,21.5.23,09.06.23,HLPXHO01090831,SMA13630,
27,L21,L21_CameraL,2,L,L,10.428016,-84.029715,Secondary/Selectively Logged,Secondary Forest,1988,22.5.23,5.6.23,21.5.23,08.06.23,21.5.23,08.06.23,HLPXHO01090345,SMA13623,
28,L28,L28_CameraN,2,M,M,10.419747,-84.032864,Old Growth,Old Growth,0,22.5.23,5.6.23,21.5.23,08.06.23,21.5.23,08.06.23,HLPXHO01090842,SMA12399,